Id,Time[ns],I²S
380,22167360.00000000000000000000,Right channel: 00000000
381,22199380.00000000000000000000,Left channel: 00ffaccd
382,22231380.00000000000000000000,Right channel: 00000000
383,22263380.00000000000000000000,Left channel: 0000d965
384,22295380.00000000000000000000,Right channel: 00000000
385,22327400.00000000000000000000,Left channel: 00ff3792
386,22359400.00000000000000000000,Right channel: 00000000
387,22391400.00000000000000000000,Left channel: 00fc0d4a
388,22423400.00000000000000000000,Right channel: 00000000
389,22455420.00000000000000000000,Left channel: 00fcff0d
390,22487420.00000000000000000000,Right channel: 00000000
391,22519420.00000000000000000000,Left channel: 00fba851
392,22551420.00000000000000000000,Right channel: 00000000
393,22583440.00000000000000000000,Left channel: 00fe1ad3
394,22615440.00000000000000000000,Right channel: 00000000
395,22647440.00000000000000000000,Left channel: 00013c1e
396,22679440.00000000000000000000,Right channel: 00000000
397,22711440.00000000000000000000,Left channel: 00ffa2ea
398,22743460.00000000000000000000,Right channel: 00000000
399,22775460.00000000000000000000,Left channel: 000078dd
400,22807460.00000000000000000000,Right channel: 00000000
401,22839460.00000000000000000000,Left channel: 00fff5c4
402,22871480.00000000000000000000,Right channel: 00000000
403,22903480.00000000000000000000,Left channel: 000166a9
404,22935480.00000000000000000000,Right channel: 00000000
405,22967480.00000000000000000000,Left channel: 00017002
406,22999500.00000000000000000000,Right channel: 00000000
407,23031500.00000000000000000000,Left channel: 00fd6b72
408,23063500.00000000000000000000,Right channel: 00000000
409,23095500.00000000000000000000,Left channel: 00ffa2f1
410,23127520.00000000000000000000,Right channel: 00000000
411,23159520.00000000000000000000,Left channel: 00034703
412,23191520.00000000000000000000,Right channel: 00000000
413,23223520.00000000000000000000,Left channel: 0001ce69
414,23255520.00000000000000000000,Right channel: 00000000
415,23287540.00000000000000000000,Left channel: 00fd7946
416,23319540.00000000000000000000,Right channel: 00000000
417,23351540.00000000000000000000,Left channel: 00fe1d8b
418,23383540.00000000000000000000,Right channel: 00000000
419,23415560.00000000000000000000,Left channel: 0002e3c2
420,23447560.00000000000000000000,Right channel: 00000000
421,23479560.00000000000000000000,Left channel: 0005046f
422,23511560.00000000000000000000,Right channel: 00000000
423,23543580.00000000000000000000,Left channel: 000330bc
424,23575580.00000000000000000000,Right channel: 00000000
425,23607580.00000000000000000000,Left channel: 00fed9c3
426,23639580.00000000000000000000,Right channel: 00000000
427,23671600.00000000000000000000,Left channel: 00fc8297
428,23703600.00000000000000000000,Right channel: 00000000
429,23735600.00000000000000000000,Left channel: 00fda067
430,23767600.00000000000000000000,Right channel: 00000000
431,23799600.00000000000000000000,Left channel: 00ff3619
432,23831620.00000000000000000000,Right channel: 00000000
433,23863620.00000000000000000000,Left channel: 0000d7ac
434,23895620.00000000000000000000,Right channel: 00000000
435,23927620.00000000000000000000,Left channel: 00ff44fd
436,23959640.00000000000000000000,Right channel: 00000000
437,23991640.00000000000000000000,Left channel: 0001633c
438,24023640.00000000000000000000,Right channel: 00000000
439,24055640.00000000000000000000,Left channel: 00028486
440,24087660.00000000000000000000,Right channel: 00000000
441,24119660.00000000000000000000,Left channel: 00ffe28f
442,24151660.00000000000000000000,Right channel: 00000000
443,24183660.00000000000000000000,Left channel: 00fe80dd
444,24215680.00000000000000000000,Right channel: 00000000
445,24247680.00000000000000000000,Left channel: 00ffe4c1
446,24279680.00000000000000000000,Right channel: 00000000
447,24311680.00000000000000000000,Left channel: 0001a57f
448,24343680.00000000000000000000,Right channel: 00000000
449,24375700.00000000000000000000,Left channel: 00005ffa
450,24407700.00000000000000000000,Right channel: 00000000
451,24439700.00000000000000000000,Left channel: 00fcefbf
452,24471700.00000000000000000000,Right channel: 00000000
453,24503720.00000000000000000000,Left channel: 00faccc4
454,24535720.00000000000000000000,Right channel: 00000000
455,24567720.00000000000000000000,Left channel: 00fc838a
456,24599720.00000000000000000000,Right channel: 00000000
457,24631740.00000000000000000000,Left channel: 00fe0140
458,24663740.00000000000000000000,Right channel: 00000000
459,24695740.00000000000000000000,Left channel: 00fd18eb
460,24727740.00000000000000000000,Right channel: 00000000
461,24759760.00000000000000000000,Left channel: 00fc10f9
462,24791760.00000000000000000000,Right channel: 00000000
463,24823760.00000000000000000000,Left channel: 00ff7a91
464,24855760.00000000000000000000,Right channel: 00000000
465,24887760.00000000000000000000,Left channel: 00035e9f
466,24919780.00000000000000000000,Right channel: 00000000
467,24951780.00000000000000000000,Left channel: 0000d71a
468,24983780.00000000000000000000,Right channel: 00000000
469,25015780.00000000000000000000,Left channel: 00011e81
470,25047800.00000000000000000000,Right channel: 00000000
471,25079800.00000000000000000000,Left channel: 00019f95
472,25111800.00000000000000000000,Right channel: 00000000
473,25143800.00000000000000000000,Left channel: 00007f7e
474,25175820.00000000000000000000,Right channel: 00000000
475,25207820.00000000000000000000,Left channel: 00ff1d3b
476,25239820.00000000000000000000,Right channel: 00000000
477,25271820.00000000000000000000,Left channel: 00fc9c5e
478,25303840.00000000000000000000,Right channel: 00000000
479,25335840.00000000000000000000,Left channel: 00fdf0b7
480,25367840.00000000000000000000,Right channel: 00000000
481,25399840.00000000000000000000,Left channel: 00fe7184
482,25431840.00000000000000000000,Right channel: 00000000
483,25463860.00000000000000000000,Left channel: 00008e9c
484,25495860.00000000000000000000,Right channel: 00000000
485,25527860.00000000000000000000,Left channel: 0000d06e
486,25559860.00000000000000000000,Right channel: 00000000
487,25591880.00000000000000000000,Left channel: 00fe2d5c
488,25623880.00000000000000000000,Right channel: 00000000
489,25655880.00000000000000000000,Left channel: 00ff792b
490,25687880.00000000000000000000,Right channel: 00000000
491,25719900.00000000000000000000,Left channel: 00011a25
492,25751900.00000000000000000000,Right channel: 00000000
493,25783900.00000000000000000000,Left channel: 00044a66
494,25815900.00000000000000000000,Right channel: 00000000
495,25847920.00000000000000000000,Left channel: 0003fe45
496,25879920.00000000000000000000,Right channel: 00000000
497,25911920.00000000000000000000,Left channel: 00ffbe77
498,25943920.00000000000000000000,Right channel: 00000000
499,25975920.00000000000000000000,Left channel: 00fccf6e
500,26007940.00000000000000000000,Right channel: 00000000
501,26039940.00000000000000000000,Left channel: 00fcdfcf
502,26071940.00000000000000000000,Right channel: 00000000
503,26103940.00000000000000000000,Left channel: 00fec756
504,26135960.00000000000000000000,Right channel: 00000000
505,26167960.00000000000000000000,Left channel: 00ff5300
506,26199960.00000000000000000000,Right channel: 00000000
507,26231960.00000000000000000000,Left channel: 00ff01a4
508,26263980.00000000000000000000,Right channel: 00000000
509,26295980.00000000000000000000,Left channel: 00fed3d7
510,26327980.00000000000000000000,Right channel: 00000000
511,26359980.00000000000000000000,Left channel: 0000ae5b
512,26392000.00000000000000000000,Right channel: 00000000
513,26424000.00000000000000000000,Left channel: 00fffa80
514,26456000.00000000000000000000,Right channel: 00000000
515,26488000.00000000000000000000,Left channel: 00fff0a4
516,26520000.00000000000000000000,Right channel: 00000000
517,26552020.00000000000000000000,Left channel: 000267d9
518,26584020.00000000000000000000,Right channel: 00000000
519,26616020.00000000000000000000,Left channel: 00023206
520,26648020.00000000000000000000,Right channel: 00000000
521,26680040.00000000000000000000,Left channel: 00ff4e9b
522,26712040.00000000000000000000,Right channel: 00000000
523,26744040.00000000000000000000,Left channel: 00fd0956
524,26776040.00000000000000000000,Right channel: 00000000
525,26808060.00000000000000000000,Left channel: 00fbcc43
526,26840060.00000000000000000000,Right channel: 00000000
527,26872060.00000000000000000000,Left channel: 00fb12af
528,26904060.00000000000000000000,Right channel: 00000000
529,26936080.00000000000000000000,Left channel: 00ff1b83
530,26968080.00000000000000000000,Right channel: 00000000
531,27000080.00000000000000000000,Left channel: 0000b929
532,27032080.00000000000000000000,Right channel: 00000000
533,27064080.00000000000000000000,Left channel: 00ffaa22
534,27096100.00000000000000000000,Right channel: 00000000
535,27128100.00000000000000000000,Left channel: 0002c32f
536,27160100.00000000000000000000,Right channel: 00000000
537,27192100.00000000000000000000,Left channel: 0000c79e
538,27224120.00000000000000000000,Right channel: 00000000
539,27256120.00000000000000000000,Left channel: 0000db68
540,27288120.00000000000000000000,Right channel: 00000000
541,27320120.00000000000000000000,Left channel: 00032c70
542,27352140.00000000000000000000,Right channel: 00000000
543,27384140.00000000000000000000,Left channel: 0003869a
544,27416140.00000000000000000000,Right channel: 00000000
545,27448140.00000000000000000000,Left channel: 00003286
546,27480160.00000000000000000000,Right channel: 00000000
547,27512160.00000000000000000000,Left channel: 00fd4ee2
548,27544160.00000000000000000000,Right channel: 00000000
549,27576160.00000000000000000000,Left channel: 00004061
550,27608160.00000000000000000000,Right channel: 00000000
551,27640180.00000000000000000000,Left channel: 00fe7eff
552,27672180.00000000000000000000,Right channel: 00000000
553,27704180.00000000000000000000,Left channel: 00fe72e9
554,27736180.00000000000000000000,Right channel: 00000000
555,27768200.00000000000000000000,Left channel: 0002afcf
